"Pass","UB-4964 (Cod30)","UB-4960 (BuD391B)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","UB-4551 (MaDE1 & E2)","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)",
12200,646.806,516.188,535.468,535.347,556.096,551.197,585.291,581.952,601.914,611.374,597.21,667.548,601.56,636.597,640.738,656.547,509.508,521.103,535.958,461.199,440.665,486.008,443.619,538.278,486.229,558.612,558.935,570.111,593.691,576.78,563.144,584.328,557.852,574.068,627.15,571.548,591.931,585.808,623.684,606.202,651.694,647.878,644.986,619.687,640.936,574.718,653.481,652.184,647.291,619.247,613.158,652.191,680.552,762.415,657.933,663.485,675.228,751.927,747.399,697.154,636.92,754.596,654.639,477.381,496.519,446.111,449.639,536.061,453.025,559.055,573.607,561.917,642.443,609.958,592.878,650.774,613.967,
12220,650.584,536.93,530.441,532.192,537.518,564.033,564.373,565.413,602.892,651.104,586.985,667.548,588.029,600.042,655.759,658.522,535.37,464.732,553.656,523.271,541.334,552.126,551.012,511.852,559.448,569.53,551.259,561.735,554.446,590.272,570.386,554.448,587.291,558.678,569.412,588.331,595.349,590.488,602.133,606.787,633.39,618.742,618.208,641.194,651.542,622.329,650.857,646.038,648.359,653.983,659.483,644.863,661.768,666.76,672.36,756.969,680.457,655.228,755.089,745.377,580.725,671.519,654.639,522.825,521.08,533.594,455.31,476.512,526.978,544.83,630.999,590.582,643.47,649.253,604.35,630.146,609.076,
12240,638.093,517.49,527.626,525.007,546.278,561.465,634.58,601.442,643.551,650.37,573.925,666.187,558.528,624.857,642.963,658.522,484.965,519.663,553.016,491.912,518.609,540.645,490.894,560.389,579.165,576.029,553.472,564.843,562.421,571.794,558.885,593.544,609.851,571.521,566.121,631.578,595.349,580.115,597.269,601.19,633.212,611.394,644.765,660.702,644.337,632.293,652.243,652.92,652.209,645.825,659.483,651.417,661.768,701.076,669.671,666.849,663.091,660.656,751.466,751.35,624.939,656.181,663.962,520.011,476.829,489.192,446.547,505.024,448.606,565.037,590.261,599.758,580.309,632.492,586.364,657.758,628.824,
12260,638.615,526.153,512.597,574.574,558.756,550.735,575.104,597.394,625.274,642.834,578.542,681.024,579.673,582.494,617.891,651.047,514.589,496.199,463.692,473.515,455.539,434.585,550.946,449.888,497.694,558.576,548.09,596.852,577.933,594.66,495.695,551.396,568.22,586.814,569.597,596.465,629.517,586.381,586.027,646.344,615.607,641.58,639.284,649.443,611.545,647.501,661.908,661.173,654.323,645.618,657.761,665.015,649.081,665.739,668.746,693.541,753.774,661.784,770.896,675.105,618.216,675.092,753.031,455.992,491.542,534.279,550.704,493.319,462.233,558.713,580.165,591.33,611.378,648.104,599.331,635.241,617.562,
12280,645.344,514.068,511.486,523.042,539.764,542.168,563.378,569.995,634.723,612.67,568.589,663.272,572.212,585.646,632.028,651.079,497.218,466.063,481.049,441.092,454.615,438.388,547.961,558.85,563.13,562.97,590.42,553.205,562.123,577.41,560.396,570.01,571.946,571.673,582.42,596.022,580.931,588.111,634.439,638.266,643.425,614.26,611.32,653.079,650.811,659.12,659.885,649.204,650.864,652.866,655.997,655.821,671.358,728.113,675.767,758.612,753.774,675.055,755.974,767.564,598.943,648.626,655.37,463.251,437.236,457.236,488.162,467.241,532.594,549.232,584.722,587.67,613.765,615.994,587.816,643.006,610.72,
12300,645.344,512.088,529.614,547.866,537.169,539.229,601.104,566.508,638.5,627.414,600.558,661.588,572.919,595.133,647.334,656.996,462.459,507.5,454.526,452.877,546.001,455.641,562.257,592.081,554.953,545.996,582.722,570.885,580.722,585.911,453.362,567.157,587.232,576.47,564.71,631.064,595.494,636.904,592.316,620.316,620.189,619.358,611.262,652.96,646.869,608.049,646.798,650.112,648.092,611.798,648.17,658.206,661.819,677.826,676.841,667.696,667.558,755.053,764.919,757.005,631.788,744.913,655.37,430.714,465.66,530.939,547.514,444.103,531.417,587.764,584.068,598.692,628.339,607.33,627.9,643.006,604.42,
12320,646.661,516.351,523.481,529.515,516.53,555.145,584.289,560.151,609.793,610.901,578.225,665.635,573.537,622.15,646.498,672.655,484.535,484.379,482.59,501.605,480.488,551.925,562.238,571.738,541.558,576.696,561.728,553.314,556.946,565.351,570.369,583.019,553.785,567.571,582.958,552.47,603.043,592.004,634.352,630.866,634.695,640.494,639.152,605.298,648.91,639.21,772.144,650.112,648.904,615.476,648.423,657.277,654.487,667.557,669.668,749.028,736.551,658.58,749.369,770.355,599.258,673.505,667.25,483.286,485.962,492.398,479.984,436.984,534.234,575.953,597.911,571.773,602.63,641.125,592.73,636.113,633.266,
12340,651.602,520.348,537.007,528.493,548.422,563.762,646.365,559.75,598.625,620.993,578.225,668.996,590.994,599.576,650.277,660.134,484.55,523.245,501.991,529.325,544.598,537.703,485.257,549.232,546.44,551.144,489.071,596.749,429.887,563.02,606.968,579.498,602.674,591.552,602.919,591.4,620.587,567.369,597.697,623.315,612.413,627.356,644.38,651.072,640.682,604.777,662.167,647.5,658.509,657.244,662.748,657.277,670.314,763.38,660.8,677.327,682.205,666.346,699.461,766.31,621.055,677.764,667.25,462.441,422.751,477.236,457.551,436.954,510.377,452.195,576.839,588.967,639.108,639.405,575.513,640.523,599.376,
12360,638.688,515.41,514.22,518.248,550.546,573.721,593.067,542.999,598.222,648.338,562.283,668.996,572.889,591.266,621.102,647.026,489.761,432.291,540.164,431.943,485.606,581.101,550.742,450.262,569.75,555.872,515.394,564.995,464.767,584.142,574.108,572.398,548.483,581.181,599.156,598.83,598.744,591.882,581.748,565.369,637.312,637.236,611.311,619.747,654.597,622.398,654.974,650.254,642.356,655.584,663.042,661.084,655.559,678.397,766.021,751.623,737.386,670.72,754.1,743.131,629.608,668.575,654.586,440.28,494.12,550.247,468.223,522.721,501.981,552.5,620.676,580.128,644.206,650.719,630.216,649.88,616.526,
12380,644.926,524.731,524.097,532.821,549.591,567.154,581.463,579.178,624.366,645.294,537.35,668.996,586.402,588.841,637.403,663.159,478.189,540.04,457.677,512.81,437.309,538.373,555.924,586.484,569.75,547.228,551.383,543.66,558.804,586.573,590.505,586.659,572.576,570.794,604.581,615.235,627.712,594.091,632.134,598.231,642.438,630.23,615.201,619.554,625.812,645.663,659.054,608.839,617.901,661.53,655.628,675.901,652.095,662.676,662.224,669.432,759.263,747.997,760.407,670.733,629.484,667.268,752.433,474.912,525.752,483.112,484.006,526.109,478.721,569.183,634.521,607.781,645.015,610.761,555.039,640.555,637.246,
12400,653.792,533.072,510.935,532.821,595.877,518.585,623.602,586.37,618.27,619.062,585.501,668.505,583.481,592.981,652.719,663.159,423.992,444.796,478.573,440.414,453.956,566.306,558.301,552.566,566.249,566.441,572.66,588.088,587.707,568.505,577.598,588.065,574.374,600.648,605.051,569.014,637.488,625.332,623.823,588.656,624.628,595.196,612.038,619.075,627.394,626.219,659.054,638.303,607.529,613.714,655.628,663.882,669.641,667.156,662.631,687.717,692.239,671.092,770.671,757.574,645.626,660.546,647.511,433.695,497.369,536.303,485.53,461.767,510.578,557.346,571.816,582.05,606.329,628.816,586.879,656.723,630.066,
12420,644.984,525.283,514.458,533.22,538.307,566.819,597.093,583.938,619.692,612.584,586.346,663.131,591.749,612.333,645.649,653.976,447.538,517.793,487.766,529.53,490.001,488.2,439.144,551.18,542.469,569.184,567.715,574.398,547.946,579.154,565.641,571.307,574.374,563.083,567.719,604.497,584.908,611.194,609.057,623.731,622.722,640.34,639.217,613.199,645.956,653.815,659.054,656.876,610.662,636.568,672.478,663.882,673.792,682.702,664.452,660.209,670.759,673.448,771.26,682.476,625.73,666.917,655.609,530.823,462.849,485.926,452.256,418.209,524.47,572.055,577.026,624.711,609.353,604.931,588.019,644.573,642.021,
12440,635.082,528.65,527.243,537.452,556.794,542.695,604.665,573.57,615.063,604.235,580.319,660.663,601.75,641.33,657.466,659.49,497.413,480.461,439.22,518.403,450.115,448.111,547.535,560.031,542.228,535.429,580.105,553.961,594.381,552.859,576.851,584.567,574.374,561.906,565.795,557.241,561.945,641.66,635.986,591.022,620.288,646.903,622.711,613.7,602.19,641.705,652.734,651.895,637.274,643.645,671.002,649.612,645.927,765.268,669.99,752.735,758.777,765.335,679.307,755.882,604.076,664.885,655.609,469.614,503.478,511.837,548.147,523.378,446.107,601.649,571.794,591.414,638.925,628.432,577.596,644.573,636.522,
12460,645.233,523.48,525.257,520.119,545.175,548.388,601.032,566.901,645.646,633.227,573.992,659.462,598.694,630.064,653.489,657.079,507.033,471.667,478.144,423.403,518.641,463.449,559.865,560.031,489.29,572.151,570.122,577.952,580.849,567.928,583.794,581.996,580.615,567.833,544.325,640.535,582.38,569.172,586.77,601.286,639.305,644.563,622.711,616.314,604.753,615.356,652.734,657.795,615.241,643.805,652.606,660.696,658.237,686.116,663.079,681.834,760.711,746.809,671.552,747.815,638.751,665.039,656.914,438.668,545.894,491.492,548.036,484.521,463.04,570.354,597.123,580.147,606.893,625.621,624.968,644.573,613.274,
12480,645.233,535.644,529.584,522.145,545.175,553.704,568.227,545.125,645.156,621.548,560.161,663.113,587.746,605.659,611.215,759.742,502.667,480.136,445.642,444.075,544.274,487.291,546.531,540.738,577.09,568.117,553.718,545.733,557.921,586.675,598.278,563.775,552.366,580.16,627.059,580.467,584.548,635.165,578.83,635.362,652.924,651.464,610.505,638.979,605.471,653.544,652.734,640.222,610.434,653.896,667.705,660.696,658.237,670.156,676.32,771.763,695.28,674.519,667.751,742.496,640.964,665.039,655.873,445.558,453.893,538.173,542.054,471.895,509.4,571.045,592.597,575.38,623.347,636.181,578.604,640.476,613.476,
12500,651.893,518.339,536.736,532.094,544.779,576.145,595.073,577.954,617.988,608.368,578.841,759.54,569.084,599.472,608.326,661.321,526.416,528.773,463.261,538.851,435.461,490.94,560.711,454.109,590.555,540.747,589.369,455.455,581.627,589.199,578.894,586.231,573.641,574.782,556.504,579.928,622.201,620.954,616.237,632.773,654.05,639.125,647.384,644.618,641.83,656.475,649.977,649.697,652.717,646.194,655.651,655.203,658.237,663.109,677.34,700.08,763.475,760.698,672.667,688.576,625.111,671.304,659.105,512.362,460.617,465.805,480.774,509.067,484.719,562.227,621.132,582.649,610.014,631.649,597.881,646.305,622.952,
12520,640.871,518.339,538.753,535.117,545.536,540.343,560.044,558.722,647.334,638.622,574.946,751.703,591.188,613.774,636.67,667.882,528.541,559.296,432.455,436.472,484.737,554.64,552.762,572.09,547.762,594.535,554.677,572.498,590.865,586.428,578.894,588.315,588.142,557.536,589.12,583.603,601.52,575.396,595.294,635.243,625.1,642.124,644.452,646.575,644.212,643.257,661.741,642.701,611.962,646.194,655.974,655.687,654.762,742.907,665.626,672.717,740.953,744.133,679.696,689.818,593.634,661.295,659.105,454.746,465.06,560.022,452.297,492.738,449.134,551.574,577.863,595.957,615.801,661.028,629.837,659.522,611.087,
12540,652.131,524.535,515.95,541.042,526.695,566.034,564.56,594.496,605.532,644.885,564.824,661.062,592.436,602.31,626.586,650.049,522.446,455.663,551.638,496.382,452.416,545.852,565.707,487.723,567.033,577.206,541.291,569.354,572.592,569.409,564.395,546.507,589.578,582.86,598.219,612.121,593.613,637.765,596.329,606.686,639.968,642.652,613.494,569.814,637.362,635.655,656.846,614.048,655.77,659.387,655.974,655.687,655.127,664.639,770.304,768.217,658.417,676.928,696.816,662.977,635.688,670.476,658.123,498.282,539.112,459.081,533.705,512.823,447.755,582.489,601.782,645.029,638.759,650.686,594.083,651.036,611.087,
12560,642.805,513.743,532.426,510.202,519.452,563.603,586.399,548.899,600.336,611.384,564.824,671.37,578.527,594.065,619.163,657.417,451.279,556.306,491.711,556.39,441.907,512.145,558.047,458.08,567.302,550.819,551.101,598.218,586.118,575.612,557.036,588.059,589.283,585.813,554.221,602.727,560.007,638.983,621.12,594.231,651.041,642.652,643.099,609.004,645.214,645.626,666.377,650.972,606.208,644.896,655.974,659.61,661.203,755.095,753.497,681.192,735.753,668.507,749.741,746.421,568.789,670.476,656.59,444.481,549.757,452.735,482.077,451.233,476.289,545.99,564.971,577.427,625.742,626.252,592.999,644.79,643.393,
12580,642.646,523.912,522.775,510.713,527.723,541.126,566.542,560.978,627.842,619.687,593.367,674.959,557.679,600.161,649.532,657.417,436.636,468.06,558.576,448.864,499.226,557.031,558.031,564.456,570.78,569.616,576.111,548.846,574.702,570.119,589.378,566.548,557.544,594.573,583.229,591.244,582.428,575.046,547.59,581.61,656.621,642.652,615.886,646.207,609.951,606.208,657.241,654.196,646.464,644.896,654.503,659.61,663.8,741.043,677.183,658.104,757.924,681.648,700.338,685.754,636.25,655.322,654.369,436.687,494.521,485.135,549.671,477.58,496.338,568.432,558.361,594.384,643.306,649.052,592.999,659.721,564.883,
12600,648.056,522.757,537.117,530.637,550.79,555.851,583.906,563.222,611.035,615.475,604.609,664.83,594.839,596.525,609.842,661.117,420.677,563.086,545.25,466.612,531.967,511.671,544.243,589.614,561.222,590.638,580.416,554.99,556.721,551.767,559.665,588.815,557.174,582.794,592.704,580.915,632.561,582.096,627.678,608.134,629.159,641.997,631.056,618.037,639.125,646.943,670.995,648.183,639.214,657.212,654.503,648.34,668.448,679.568,677.951,680.937,699.014,752.127,673.24,666.205,579.696,664.648,666.859,503.007,458.642,465.473,548.018,455.514,493.845,571.813,577.121,587.991,629.635,614.09,622.832,642.899,622.166,
12620,638.864,520.227,521.461,529.215,552.15,553.875,576.855,580.089,610.489,615.475,581.034,664.83,601.093,602.128,647.437,659.318,513.102,454.16,540.817,420.938,443.463,531.662,457.971,565.094,557.977,499.841,573.787,554.158,586.374,575.589,585.227,641.081,555.825,565.238,579.631,580.972,572.039,570.466,575.307,587.831,614.683,617.996,643.311,618.037,615.873,646.943,656.906,648.183,642.679,608.892,656.027,663.865,692.816,754.417,658.435,767.499,730.95,751.797,746.753,666.356,633.965,663.367,661.473,539.255,434.494,539.764,443.734,470.397,467.075,561.235,579.31,593.927,618.279,643.878,566.856,649.724,613.402,
12640,653.093,533.69,537.423,510.199,520.068,562.591,552.703,553.032,607.597,639.656,588.753,658.701,578.5,598.453,624.545,652.516,495.379,464.555,545.653,505.864,451.15,531.389,489.6,569.887,556.03,589.939,549.358,555.324,553.131,559.536,571.213,590.882,579.417,594.538,569.467,585.981,582.805,582.698,626.152,629.932,641.611,616.113,638.347,606.986,650.44,645.151,656.412,652.022,661.243,651.101,664.191,663.865,653.77,682.962,675.25,670.884,752.13,670.164,746.367,758.755,646.381,666.943,669.3,483.955,509.5,495.897,545.784,523.85,477.228,448.915,567.348,581.832,619.658,643.878,592.119,619.911,585.14,
12660,634.681,522.823,537.423,544.279,534.022,539.246,579.134,583.568,620.624,643.467,583.308,652.856,585.977,590.544,614.99,644.612,478.743,491.786,494.83,453.026,458.383,601.363,488.234,559.683,639.142,541.753,581.888,591.761,556.887,588.205,549.506,546.787,591.61,564.967,583.123,571.579,568.083,580.967,580.441,648.585,626.238,643.017,632.669,643.722,623.683,648.478,669.548,646.099,645.266,641.807,650.489,656.871,664.067,768.826,678.722,753.257,763.837,755.109,707.412,672.371,589.901,681.584,664.954,446.498,435.021,441.187,537.399,471.942,443.627,481.271,583.739,601.545,624.161,649.061,575.311,620.581,607.391,
12680,642.187,523.67,527.305,527.168,554.968,557.986,579.175,576.75,619.008,612.502,589.082,669.177,578.358,596.716,608.046,662.164,435.841,438.603,540.51,538.086,464.86,489.341,461.727,550.776,482.013,555.473,564.172,554.077,555.951,587.481,564.105,576.027,574.741,560.519,583.123,588.067,584.215,551.863,595.714,642.592,625.874,639.759,631.886,607.274,643.157,647.133,659.026,646.099,614.603,621.278,669.932,652.904,667.4,678.3,734.139,670.176,665.795,673.97,750.073,675.357,602.672,748.564,655.064,455.096,441.478,484.152,541.057,468.091,465.746,576.772,624.642,571.32,611.296,630.215,605.471,651.806,636.638,
12700,646.035,532.845,519.724,515.304,514.505,540.112,586.028,582.685,632.204,650.244,575.748,660.965,558.625,591.29,604.74,656.654,487.717,443.918,431.196,462.147,432.431,490.335,554.629,501.371,448.916,566.347,561.973,559.414,434.329,587.769,584.709,578.593,563.786,573.143,572.94,595.944,586.344,579.887,588.447,620.49,621.861,622.355,650.531,631.603,611.482,585.484,657.068,644.731,657.088,642.801,652.725,668.114,660.333,670.422,669.359,692.589,692.773,673.57,750.976,668.107,629.708,678.528,670.888,458.747,453.496,455.626,443.792,463.17,492.937,553.702,592.282,625.699,614.757,642.414,568.688,647.254,627.535,
12720,643.429,517.237,536.195,517.037,547.541,556.185,597.74,558.984,588.568,605.218,558.638,654.325,603.361,629.422,635.307,664.223,491.229,456.958,479.848,495.367,435.99,555.306,571.564,495.826,554.879,558.23,560.915,559.617,495.803,567.756,560.895,555.856,598.752,634.672,583.87,595.551,562.321,584.689,606.411,593.593,613.63,652.936,625.661,648.48,644.722,603.191,657.068,616.913,628.152,657.899,653.155,656.557,669.545,660.062,676.524,662.26,770.888,696.135,669.59,746.067,632.769,753.676,655.259,537.246,540.678,460.1,443.096,531.506,506.645,460.328,570.673,573.387,637.067,656.278,597.049,641.406,608.009,
12740,647.432,515.901,517.501,519.976,512.801,521.617,576.595,573.841,640.864,617.123,599.176,665,575.407,584.443,651.055,652.379,436.145,434.522,540.839,453.39,449.474,547.762,545.031,545.946,548.363,483.849,582.161,592.249,570.414,559.899,552.06,556.04,592.829,578.442,589.69,596.845,585.144,572.875,598.541,628.832,639.521,616.143,630.819,636.52,608.783,614.793,651.528,629.743,648.478,649.783,657.35,647.493,647.102,739.339,723.665,746.791,763.687,749.888,793.767,661.621,628.552,771.009,650.442,490.567,496.053,450.046,470.455,533.561,462.716,560.223,578.621,592.119,624.773,612.857,599.194,629.437,609.83,
12760,642.745,512.042,533,519.976,541.008,517.609,564.488,586.993,603.644,610.866,582.584,664.14,598.718,601.554,651.345,652.272,436.962,516.337,505.575,447.223,471.636,492.801,484.562,556.451,546.403,567.63,573.247,593.441,558.768,582.905,571.298,553.595,558.237,562.453,578.21,585.805,587.269,560.875,597.901,621.981,616.612,640.764,655.25,639.414,652.299,649.755,651.528,650.74,648.478,623.215,666.847,647.493,753.078,684.948,746.389,661.171,759.137,756.222,660.427,673.307,613.519,768.195,649.026,464.961,480.878,447.881,487.834,426.647,435.872,585.299,609.462,588.442,617.22,604.063,586.313,651.399,619.124,
12780,642.745,510.999,511.852,516.685,546.264,546.829,644.69,569.955,606.558,614.73,590.038,662.548,599.46,603.542,653.127,656.778,538.051,438.544,539.017,490.703,518.311,550.291,544.019,442.994,574.044,456.269,565.66,554.575,636.626,544.315,549.181,563.392,567.63,597.076,596.884,585.078,601.229,628.636,595.626,611.402,616.612,609.447,654.094,648.83,614.919,606.823,652.417,619.477,639.052,645.694,645.281,656.708,654.435,748.871,671.947,764.164,692.69,679.997,661.387,751.719,628.716,745.974,665.673,447.604,439.326,464.833,559.384,512.199,450.914,548.971,593.069,560.657,619.905,640.789,593.495,650.792,635.66,
12800,648.268,514.01,534.153,550.913,541.128,566.717,632.269,574.038,608.606,646.916,565.726,662.548,589.009,626.29,650.707,658.406,469.142,490.017,504.636,533.485,440.248,550.291,565.2,575.246,566.02,484.878,552.979,576.907,570.177,536.84,571.703,557.675,559.707,575.927,568.195,579.163,567.826,643.779,600.699,599.894,645.772,645.504,632.491,612.861,637.142,592.96,662.173,651.019,644.853,657.709,648.18,656.708,672.105,743.76,671.351,675.046,658.974,667.405,751.757,742.356,607.687,651.841,654.839,466.281,485.249,494.467,556.856,499.019,494.471,548.868,592.823,598.304,628.948,617.21,571.897,650.792,606.603,
12820,648.268,516.377,534.597,550.339,546.151,526.998,574.072,602.098,639.28,622.028,543.034,660.561,571.906,602.27,650.257,660.503,475.752,435.738,496.805,492.26,483.38,449.231,563.542,581.874,539.698,561.531,574.393,558.959,616.298,593.555,581.532,571.737,546.961,575.927,568.195,603.735,602.237,637.967,576.952,599.985,598.151,609.47,649.886,608.99,647.505,619.407,650.304,651.019,611.474,641.063,671.583,645.969,657.722,666.353,672.944,750.66,752.568,663.128,664.649,664.703,595.602,761.795,655.967,431.973,483.505,458.229,488.09,479.317,418.785,594.907,580.065,596.119,615.093,604.008,635.402,646.458,638.48,
12840,637.267,526.44,530.571,510.326,546.151,546.52,580.407,547.292,623.609,640.617,584.514,663.686,576.361,642.733,653.457,676.819,495.99,438.777,536.964,468.832,460.365,480.428,514.302,576.581,563.541,458.305,587.457,559.092,581.47,582.767,550.121,573.844,597.002,605.895,583.722,600.417,588.771,585.329,596.225,615.935,612.311,607.022,612.716,627.969,604.186,613.379,661.916,651.569,650.786,638.934,656.707,657.828,696.515,675.167,758.489,670.857,750.766,748.048,701.195,761.828,602.297,686.082,659.719,483.008,502.962,486.371,537.177,543.917,411.329,557.485,604.457,583.486,640.858,649.784,597.452,646.458,621.509,
12860,650.353,521.284,533.816,540.877,579.507,541.599,598.077,582.518,643.045,624.681,599.526,691.677,577.084,588.328,614.389,651.449,440.096,431.981,491.529,452.319,450.958,480.365,556.181,539.565,543.763,553.262,585.278,552.375,576.126,596.421,559.304,587.528,591.421,579.706,596.082,602.098,579.391,603.046,599.589,626.734,645.543,613.916,624.471,648.909,600.168,651.947,662.948,651.569,615.074,608.319,656.707,666.633,659.831,764.872,658.742,676.448,673.115,676.744,746.627,745.353,599.035,674.792,666.172,529.28,537.644,480.119,543.985,434.846,453.058,563.101,577.587,573.277,604.645,643.6,583.615,644.339,632.109,
12880,646.612,515.113,532.57,522.017,517.915,568.069,580.172,592.681,597.087,649.963,573.399,753.914,586.91,604.768,620.579,641.306,416.121,460.536,459.838,524.064,541.279,450.149,516.63,475.882,556.455,568.717,584.988,565.368,579.708,585.719,594.096,587.398,563.926,596.433,551.49,620.303,583.967,602.894,563.197,615.713,655.993,627.393,611.407,632.692,608.23,606.845,669.846,653.145,653.996,615.443,665.559,658.857,609.785,764.476,668.459,693.379,762.319,769.34,675.843,753.46,600.18,766.292,661.029,505.944,440.086,464.391,541.775,511.827,475.148,550.618,592.499,624.044,644.688,641.944,585.73,613.067,612.083,
12900,645.921,528.759,537.864,530.281,539.204,567.629,622.545,594.415,635.903,609.581,571.844,655.278,595.042,596.662,649.113,651.337,510.458,435.197,484.665,518.546,553.318,541.469,552.138,570.016,559.924,588.077,549.917,578.252,594.852,545.587,594.588,561.051,622.06,578.959,602.906,586.477,594.783,593.771,583.235,640.368,605.985,613.487,617.274,604.15,648.449,615.286,657.123,653.179,639.508,653.562,658.769,658.857,626.208,664.46,660.483,678.762,691.879,681.774,761.166,678.146,597.953,647.7,662.203,529.303,555.956,461.225,445.341,434.156,491.611,576.45,576.803,602.284,608.432,644.643,588.494,627.771,618.717,
12920,646.53,525.818,524.285,540.199,536.108,535.397,578.675,574.386,610.821,609.581,568.688,770.539,582.599,589.837,613.595,644.534,498.649,481.709,562.316,558.819,549.774,547.211,484.484,546.568,597.883,543.834,588.642,569.393,597.409,594.873,588.983,583.099,585.433,572.529,569.801,592.723,615.596,628.692,632.411,630.4,614.681,641.52,650.911,615.156,648.241,605.9,614.616,612.669,646.598,644.557,655.238,657.764,749.374,665.199,660.483,753.471,678.221,681.849,754.031,673.837,607.027,749.774,664.79,489.015,500.38,561.708,572.531,506.675,437.475,589.479,598.95,610.451,632.164,644.643,621.607,643.615,601.176,
12940,639.468,531.728,517.203,516.297,514.764,538.715,568.459,562.414,618.462,609.581,578.943,670.173,599.732,628.082,646.959,652.408,488.743,502.938,496.139,528.364,494.366,493.489,553.695,544.374,550.4,587.258,556.02,554.666,549.336,558.026,587.478,583.099,564.501,586.883,563.007,586.42,627.579,563.614,550.455,631.63,632.783,620.704,613.154,649.058,618.931,639.7,655.085,614.522,646.598,611.354,667.749,657.764,754.265,759.225,672.659,682.838,750.604,659.047,768.837,682.265,626.178,657.259,660.615,434.865,481.547,483.381,475.065,497.201,529.644,544.661,489.281,579.345,609.249,640.351,590.47,641.271,641.578,
12960,637.1,515.92,538.791,512.156,560.539,550.309,560.148,561.715,605.742,644.111,595.169,661.082,578.053,586.301,647.79,657.387,426.813,533.782,542.896,544.413,447.667,446.391,551.804,491.398,571.442,516.255,576.097,551.268,593.819,569.943,557.826,550.121,580.493,590.525,595.393,625.361,575.691,626.884,619.483,629.179,611.489,642.603,653.538,633.247,648.665,649.959,652.666,603.818,644.047,611.889,667.749,666.448,664.221,726.726,754.862,759.04,662.736,746.151,682.766,768.305,582.421,740.239,673.77,491.495,508.225,539.429,463.449,472.82,476.878,587.219,550.798,578.115,617.115,642.425,641.649,659.416,620.307,
12980,653.071,514.724,531.698,518.441,535.309,561.209,583.069,583.28,602.62,612.348,584.393,660.344,585.724,601.467,611.758,651.022,492.582,495.252,535.918,445.779,535.165,543.423,540.321,554.774,549.979,560.768,580.386,558.277,590.895,566.611,577.413,569.035,582.148,590.723,567.754,579.753,558.751,595.603,637.19,602.57,641.258,627.544,640.121,612.435,648.568,645.917,652.666,646.813,639.608,651.148,660.459,649.25,660.688,681.906,765.027,663.351,658.342,755.885,744.368,751.844,604.582,671.621,655.584,514.912,446.627,541.411,566.35,435.953,438.565,561.604,570.272,568.559,619.806,613.101,574.77,613.03,642.327,
13000,646.161,524.732,511.884,534.794,538.749,550.603,574.109,556.499,639.343,607.523,571.346,684.814,559.458,595.197,609.592,651.022,434.02,534.127,568.028,440.544,445.599,545.535,558.413,569.382,552.79,560.768,578.722,567.319,564.841,566.611,564.741,570.464,582.148,574.968,565.002,590.921,582.425,633.282,621.368,614.989,619.226,643.869,642.146,632.622,631.721,653.437,654.738,646.813,642.908,651.148,671.805,673.699,661.383,670.606,752.405,671.552,684.056,684.79,662.954,762.214,582.527,672.481,653.021,497.8,479.67,506.214,462.23,444.095,451.402,592.821,575.965,603.462,631.732,608.808,567.923,629.47,637.986,
