"","a14","b3","a24","b10","b2","b12","e4","a5","d5","b13","b4","b1","a1","a3","ant","f12","e1","b6","e5","f5","f13","f38","d29","b8","d33","h1","g2","c1","f14","i1","f35","zoo","d19","g1","d3","d15","f15","c12","c14","c5","c13","c4","c6","d7","f55","g7","i13","i5","relief"
"c12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09831594846739,0,0,0,0,0,1.0154464706451,0,0,0,0,0,2.18896006748633,3.28757235615444,3.28757235615444,0,0,0,0,0,0,0
"c14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656483196188354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c5",0,0,0,0,0,0,0,0,0,0,0,0,-0.015644617147516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656483196188354,0,0,0,0,0,0.658771526706366,0,0,0,2.18896006748633,0,0,2.30674310314271,3.10525079936048,0,3.28757235615444,0,0,0,0,0
"c13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06194830429652,0,0,0,0,0,0.910085954987272,0,0,0,3.28757235615444,0,2.30674310314271,0,0,0,0,0,0,0,0,0
"c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16730881995434,0,0,0,0,0,0,0,0,0,3.28757235615444,0,3.10525079936048,0,0,0,0,0,0,0,0,0
"c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60323313554722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28757235615444,0,0,0,0,0,0,0,0,0
"f55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3496303767483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g7",0,0,0,0,0,0,0,0,0,0,0,0,1.26528922831455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60323313554722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36390151698266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09850257237076,0
"i5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95843640887449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09850257237076,0,0
"relief",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88065870783181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
